190,385,583,563.12,5000,1
457,162,759,497.53,2000,2
506,185,726,415.78,2000,2
951,194,755,463.55,2000,2
1006,163,839,368.84,2000,2
1215,399,441,289.09,100,3
1250,426,612,309.68,100,3
1296,140,752,430.73,100,3
1319,217,787,314.11,100,3
1330,270,560,410.42,100,3
1365,503,126,263.47,100,3
1407,403,511,419.79,100,3
1428,194,833,312.57,100,3
1463,261,570,355.14,100,3
1512,270,595,415.77,100,3
1541,375,437,299.21,100,3
1552,252,579,275.32,100,3
1623,277,534,252.49,100,3
1636,287,688,216.98,100,3
1673,369,469,309.43,100,3
1677,263,580,381.45,100,3
1807,298,651,301.92,100,3
1812,166,827,403.38,100,3
1817,208,758,412.69,100,3
1819,159,811,451.23,100,3
1825,377,505,229.55,100,3
1848,172,796,437.78,100,3
1862,176,859,402.25,100,3
1883,425,614,282.28,100,3
1893,425,608,371.42,100,3
1905,440,602,267.77,100,3
1923,182,692,262.39,100,3
1927,437,573,203.97,100,3
1933,152,497,292.66,100,3
1974,215,792,307.8,100,3
1978,132,760,413.37,100,3
2015,189,760,478.92,100,3
2018,213,793,311.34,100,3
2022,142,733,375.23,100,3
2025,113,744,319.18,100,3
2029,291,562,380.71,100,3
2184,321,602,216.44,100,3
2187,512,111,420.83,100,3
2189,148,778,457.62,100,3
2213,170,431,266.22,100,3
2241,263,570,370.58,100,3
2265,193,791,396.58,100,3
2268,105,793,244.02,100,3
2291,397,493,298.92,100,3
2297,143,799,377.61,100,3
2309,156,834,408.32,100,3
2310,195,830,319.18,100,3
2349,91,745,249.96,100,3
2360,641,305,319.38,100,3
2377,150,697,353.75,100,3
2381,126,753,383.3,100,3
2406,660,295,310.18,100,3
2418,117,747,340.99,100,3
2426,196,706,314.84,100,3
2428,297,463,229.01,100,3
2480,242,732,279.71,100,3
2491,195,747,465.93,100,3
2501,169,746,474.88,100,3
2507,154,827,426.03,100,3
2515,124,736,322.71,100,3
2526,548,610,238.53,100,3
2589,248,555,219.16,100,3
2641,156,503,311.67,100,3
2648,107,733,250.8,100,3
2684,139,770,438.85,100,3
2691,137,710,258.69,100,3
2733,139,795,376.47,100,3
2751,668,297,231.87,100,3
2758,391,475,278.8,100,3
2765,145,717,325.08,100,3
2766,402,463,251.27,100,3
2771,376,546,298.58,100,3
2784,173,851,416.08,100,3
2787,647,325,293.61,100,3
2795,193,777,473.68,100,3
2797,136,766,429.73,100,3
2872,665,415,277.08,100,3
2910,289,551,459.75,100,3
2927,104,730,226.08,100,3
2958,282,614,270.58,100,3
2994,429,618,211.18,100,3
3001,233,740,317.24,100,3
3055,508,114,445.77,100,3
3067,385,524,581.15,100,3
3094,152,816,413.82,100,3
3113,417,740,318.29,100,3
3165,222,706,304.21,100,3
3174,296,641,247.39,100,3
3217,285,664,222.17,100,3
3251,645,288,281.24,100,3
3280,390,491,309.36,100,3
3322,188,811,356.51,100,3
3338,227,714,323.87,100,3
3361,163,429,269.66,100,3
3379,274,616,356.47,100,3
3384,207,725,407.12,100,3
3413,283,650,260.48,100,3
3429,413,508,303.44,100,3
3438,400,568,228.76,100,3
3479,234,756,251.56,100,3
3487,123,761,383.82,100,3
3581,175,720,439.66,100,3
3634,422,597,514.84,100,3
3645,399,488,281.98,100,3
3684,167,494,365.34,100,3
3695,192,802,362.21,100,3
3710,399,442,295.4,100,3
3724,377,442,363.53,100,3
3754,402,596,245.49,100,3
3768,177,861,377.83,100,3
3784,294,477,270.36,100,3
3838,153,480,231.04,100,3
3847,129,741,359.77,100,3
3867,210,722,390.24,100,3
3869,171,795,441.02,100,3
3873,235,707,246.66,100,3
3946,171,678,244.66,100,3
3954,420,738,326.51,100,3
3973,396,438,284.28,100,3
3989,155,833,413.62,100,3
3990,150,680,266.02,100,3
4029,292,704,258.93,100,3
4032,373,454,381.49,100,3
4058,127,749,377.47,100,3
4104,228,785,294.71,100,3
4200,196,721,387.34,100,3
4202,385,492,298.08,100,3
4250,245,728,250.43,100,3
4275,182,799,404.58,100,3
4291,650,421,233.25,100,3
4318,127,740,348.93,100,3
4321,140,811,337.95,100,3
4352,441,606,228.24,100,3
4381,151,516,220.16,100,3
4382,419,594,533.73,100,3
4383,277,593,361.56,100,3
4391,242,744,232.74,100,3
4392,157,824,434.02,100,3
4394,654,285,267.47,100,3
4410,216,768,348.88,100,3
4425,426,615,264.7,100,3
4437,260,592,379.83,100,3
4463,188,725,408.43,100,3
4485,117,770,362.51,100,3
4562,109,801,228.52,100,3
4576,428,589,521.49,100,3
4610,175,504,280.65,100,3
4652,286,594,253.84,100,3
4663,389,453,379.03,100,3
4666,557,612,232.38,100,3
4732,175,821,393.73,100,3
4745,328,615,306.29,100,3
4799,186,769,482.45,100,3
4804,218,754,357.35,100,3
4809,167,426,328.73,100,3
4851,176,765,496.19,100,3
4864,162,418,325.84,100,3
4897,265,581,392.58,100,3
4920,169,862,381.07,100,3
4923,165,689,409.98,100,3
4940,206,796,328.09,100,3
4976,211,684,226.61,100,3
5026,154,830,422.06,100,3
5065,378,518,390.85,100,3
5081,293,703,274.34,100,3
5129,306,650,246.23,100,3
5144,400,533,546.62,100,3
5160,170,726,444.79,100,3
5227,195,734,448.16,100,3
5233,280,597,328.41,100,3
5331,439,604,271.95,100,3
5332,181,809,388.63,100,3
5383,207,730,426,100,3
5428,149,854,230.73,100,3
5485,321,617,273.13,100,3
5521,401,554,253.92,100,3
5575,279,543,414.53,100,3
5586,499,119,282.84,100,3
5590,239,772,243.27,100,3
5601,133,761,417.67,100,3
5605,397,533,594.46,100,3
5632,162,420,327.87,100,3
5680,283,590,299.36,100,3
5695,156,831,417.7,100,3
5733,138,827,348.85,100,3
5739,386,535,605.39,100,3
5766,219,723,380.5,100,3
5772,151,506,260.53,100,3
5792,173,695,376.17,100,3
5802,168,756,495.35,100,3
5819,169,741,460.86,100,3
5825,261,545,284.33,100,3
5839,657,285,256.99,100,3
5867,282,556,498.22,100,3
5886,98,783,282.39,100,3
5911,121,720,243.8,100,3
5957,410,587,461.69,100,3
5971,165,508,293.16,100,3
6015,137,815,321.5,100,3
6039,167,748,479.09,100,3
6050,193,776,481.25,100,3
6099,160,732,428.69,100,3
6106,148,776,461.46,100,3
6124,209,714,353.31,100,3
6139,303,562,214.78,100,3
